wavs/0001.wav|Salom, mening ismim Muhammadamin.
wavs/0002.wav|Bugun ob-havo juda chiroyli.
wavs/0003.wav|Ovozli boshqaruv tizimini sinab ko‘ryapmiz.
wavs/0004.wav|Iltimos, navbatdagi dars jadvalini ochib bering.
wavs/0005.wav|CRM tizimida yangi foydalanuvchi qo‘shildi.
wavs/0006.wav|Bugun to‘lov amalga oshirildi.
wavs/0007.wav|O‘quvchilar ro‘yxatini yangilash kerak.
wavs/0008.wav|Dars soati ertaga o‘tkaziladi.
wavs/0009.wav|Men ovozim orqali buyruq berishni xohlayman.
wavs/0010.wav|Rahmat, tizim muvaffaqiyatli ishlayapti.
wavs/001.wav|Assalomu alaykum, bu sinov ovozidir.
wavs/002.wav|Bugun ob-havo iliq va quyoshli.
wavs/003.wav|Men sizga qanday yordam bera olaman?
wavs/004.wav|Bu yerda yangi kitoblar bor.
wavs/005.wav|Ertaga soat sakkizda uchrashamiz.
wavs/006.wav|Iltimos, eshikni yoping.
wavs/007.wav|Telefoningizni jim holatga o‘tkazing.
wavs/008.wav|Maktab ertalab soat sakkizda boshlanadi.
wavs/009.wav|Bu mening sevimli mashg‘ulotim.
wavs/010.wav|Do‘stlar bilan sayr qilish yoqimli.
